species,SID01.BA.VG.2,SID01.BA.V_metag,SID02.BA.V_metag,SID02.BA.VG_metag,SID03.BA.O_metag,SID04.BA.VG.2,SID04.BA.O_metag,SID04.BO.VG.2,SID04.TO.VG,SID05.PR.VG.1,SID06.BA.VG_metag,SID06.PR.VG_metag,SID06.TO.VG,SID07.BA.VG.2,SID07.PR.V.2,SID08.BA.V_metag,SID08.BA.VG_metag,SID08.TO.VG,SID09.PR.V_metag,SID09.TO.O.new,SID10.BO.V,SID10.TO.V.1,SID11.BA.V_metag,SID11.TO.V.2,SID12.PR.V.2,SID12.TO.O.new,SID13.PR.VG.0,SID14.PR.VG.0,SID16.PR.VG.1,SID17.PR.V_metag,SID18.PR.V_metag,SID19.BA.V.2,SID19.TO.V,SID20.TO.O.0,SID21.TO.V.new,SID22.TO.O.new,SID23.BA.V.2,SID26.BA.V.2,SID26.PR.V_metag,SID29.PR.O.2,SID30.BO.O.2,SID31.PR.O.0,SID32.PR.V.1,SID33.PR.V_metag,SID37.PR.O.new,SID38.BA.O.2,SID38.PR.O.1,SID38.TO.VG,SID39.TO.VG,SID42.TO.VG.2,SID44.TO.V,SID45.BO.V.new,SIDVOV03_metag,SIDVOV08_metag,SIDVOV104_metag,SIDVOV108_metag,SIDVOV109_metag,SIDVOV112_metag,SIDVOV113_metag,SIDVOV114_metag,SIDVOV16_metag,SIDVOV20_metag,SIDVOV24_metag,SIDVOV25_metag,SIDVOV26_metag,SIDVOV28_metag,SIDVOV29_metag,SIDVOV32_metag,SIDVOV34_metag,SIDVOV35_metag,SIDVOV36_metag,SIDVOV38_metag,SIDVOV39_metag,SIDVOV46_metag,SIDVOV48_metag,SIDVOV49_metag,SIDVOV52_metag,SIDVOV53_metag,SIDVOV54_metag,SIDVOV56_metag,SIDVOV58_metag,SIDVOV59_metag,SIDVOV60_metag,SIDVOV66_metag,SIDVOV70_metag,SIDVOV72_metag,SIDVOV75_metag,SIDVOV76_metag,SIDVOV77_metag,SIDVOV78_metag,SIDVOV79_metag,SIDVOV81_metag,SIDVOV82_metag,SIDVOV96_metag,SIDVOV97_metag,SIDVOV98_metag,SIDVOV99_metag
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,0.06894,0.02226,0.30753,,,0.09656,0.05421,0.00441,0.08428,,0.23076,0.03604,0.02558,0.08497,,0.04058,0.04862,0.10327,0.00247,,0.00308,0.50425,0.02193,0.03312,,0.08412,0.08268,0.11587,,,0.003,0.07394,0.0115,,0.12577,,1.20617,0.2879,0.00145,0.05645,0.02294,0.00245,0.02067,,0.08931,2.32719,,0.02679,,0.19083,0.3801,0.13777,1.59004,0.00516,0.01538,,0.09257,0.05358,0.04353,0.07782,0.4356,,0.6404,0.33648,0.22031,0.01465,,,,,0.30642,0.16601,0.3018,,0.27213,0.05766,0.48485,0.17455,0.12449,0.1448,,0.07327,,0.0417,0.09948,0.32249,0.08815,,0.38049,0.78733,0.21551,,,0.04521,,0.54832,0.00266
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,,2.66559,,0.63632,0.01633,0.00048,,1.93954,,0.07312,,,0.06267,,,0.78253,4.7378,,,,,,1.97211,0.00315,,,0.13663,0.24922,,0.64595,0.56569,0.13134,,,,,2.06014,4.8211,,,1.30931,0.1789,,,2.15187,4.39857,,0.43033,,,,,1.79029,,0.15137,,0.07148,,2.96769,,,,0.8083,,,,,,,,,0.21631,,,,1.09834,,,,,0.37909,0.05306,,,1.59242,,,,,,0.05494,,,0.19255,,,0.07048
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.12161,7.14212,5.67888,3.01033,2.55151,0.82253,12.94729,14.93992,3.29317,0.37915,1.46549,0.1917,32.8208,7.54945,5.98761,3.46135,0.58724,,1.32902,0.15426,2.27284,5.22881,2.30627,0.7967,0.01283,0.00494,2.42125,0.30781,0.13824,1.10702,2.29517,2.37785,26.48563,3.22899,1.25307,8.30936,8.85985,21.65637,0.05838,1.03443,1.17894,0.44319,,1.27778,2.48476,3.45688,5.3119,2.75198,1.36482,1.76832,16.73618,2.42374,0.88155,0.85236,0.05058,1.1621,0.14672,3.53333,3.03839,11.09977,0.98652,,1.12823,0.45191,,0.15358,,0.02539,0.26192,0.01687,0.21572,0.89762,0.45804,,2.13695,0.4529,0.53627,2.40234,0.91992,0.00058,0.14807,1.34928,0.09385,0.09942,0.40022,0.18293,4.01494,0.00111,,0.06108,0.45358,0.08231,0.15119,0.31595,,22.98342,0.01241
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,,,,,,0.10192,,,,,,,,,,,0.01609,,,,,,,,,,,,,,,,,,,,,,,,,,0.00574,,,,,,,,,,,,,,,,,,,,0.00336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,,,0.00143,0.03239,0.0058,,0.00714,,0.34487,0.00682,,,,,,,0.00228,0.00394,0.03461,,,0.22336,,,,4.62978,,,0.03919,,,,,,,,0.00784,0.52893,,0.00328,,,,,,0.11584,0.00873,,,,,,,0.01623,0.09742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00436,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica,,0.02826,,,,0.00439,,0.0039,,0.00654,,,,0.0071,0.00402,,0.00232,,,,,,,0.00057,0.00327,,0.0022,,,,,,0.00073,0.00066,,,0.01445,0.02469,,,,,0.06504,,,0.01898,,0.00137,,,,,,,,,,,,,,,,,,0.00465,,,,,,,,,,,,,,,,0.00227,,,,,,,,,,,,0.05717,,,
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve,,,,,,,0.21184,,,,,,,,,,,,,,,0.32703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae,,,,,,0.03009,,,,,,,,,,,,0.28685,,,,,,,,,,,,,0.548,,,,,,0.00416,0.00992,,,,,,,,,,,,,,0.41911,,,,,,,,,,,,,0.03933,2.82238,,,0.06354,,,0.12659,,,,,,,,,,,,,,,,,,,,,,,,2.21665,0.00612
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,,0.05653,,0.07174,,0.0075,0.07443,0.00219,0.00939,0.01148,,,,,,,0.02776,,0.00291,,,0.0758,,0.03079,,,0.11713,0.00265,,,0.00088,0.11875,0.00419,0.07411,,,0.19441,0.10643,0.00713,0.01663,0.02674,,0.01595,0.00443,,0.74256,0.00542,0.04017,0.04135,,,0.00576,0.0113,0.00501,,0.01942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00593,,,,0.10782,,0.01077,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_MSTE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
