species,MMPD23212378ST,SID01.BA.VG.2,SID01.BA.V_metag,SID02.BA.V_metag,SID02.BA.VG_metag,SID03.BA.O_metag,SID04.BA.VG.2,SID04.TO.VG,SID05.PR.VG.1,SID06.BA.VG_metag,SID07.BA.VG.2,SID08.BA.V_metag,SID08.BA.VG_metag,SID08.TO.VG,SID11.TO.V.2,SID12.TO.O.new,SID13.PR.VG.0,SID14.PR.VG.0,SID18.PR.V_metag,SID19.BA.V.2,SID20.TO.O.0,SID23.BA.V.2,SID26.PR.V_metag,SID30.BO.O.2,SID33.PR.V_metag,SID38.BA.O.2,SID39.TO.VG,SID42.TO.VG.2,SIDVOV03_metag,SIDVOV08_metag,SIDVOV114_metag,SIDVOV48_metag,SIDVOV49_metag,SIDVOV96_metag
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,0.25096,0.06894,0.02226,0.30753,0,0,0.09656,0.08428,0,0.23076,0.08497,0.04058,0.04862,0.10327,0.03312,0.08412,0.08268,0.11587,0.003,0.07394,0,1.20617,0.00145,0.02294,0,2.32719,0,0.19083,1.59004,0.00516,0.07782,0.27213,0.05766,0.04521
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,0.232,0,2.66559,0,0.63632,0.01633,0.00048,0,0.07312,0,0,0.78253,4.7378,0,0.00315,0,0.13663,0.24922,0.56569,0.13134,0,2.06014,0,1.30931,0,4.39857,0,0,1.79029,0,0,0,1.09834,0.19255
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.27903,0.12161,7.14212,5.67888,3.01033,2.55151,0.82253,3.29317,0.37915,1.46549,7.54945,3.46135,0.58724,0,0.7967,0.00494,2.42125,0.30781,2.29517,2.37785,3.22899,8.85985,0.05838,1.17894,1.27778,3.45688,1.36482,1.76832,0.88155,0.85236,11.09977,2.13695,0.4529,0.31595
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,0,0,0,0,0,0,0.10192,0,0,0,0,0,0.01609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,0,0,0,0.00143,0.03239,0.0058,0,0.34487,0.00682,0,0,0,0.00228,0.00394,0,4.62978,0,0,0,0,0,0.00784,0,0,0,0.11584,0,0,0,0.01623,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica,0.00173,0,0.02826,0,0,0,0.00439,0,0.00654,0,0.0071,0,0.00232,0,0.00057,0,0.0022,0,0,0,0.00066,0.01445,0,0,0,0.01898,0,0,0,0,0,0,0,0.05717
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae,0,0,0,0,0,0,0.03009,0,0,0,0,0,0,0.28685,0,0,0,0,0.548,0,0,0.00416,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,0.36759,0,0.05653,0,0.07174,0,0.0075,0.00939,0.01148,0,0,0,0.02776,0,0.03079,0,0.11713,0.00265,0.00088,0.11875,0.07411,0.19441,0.00713,0.02674,0.00443,0.74256,0.04135,0,0.0113,0.00501,0,0,0,0.01077
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_MSTE9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,0.12223,0.08816,2.79605,1.15398,0.3734,0.91822,0.2679,0.4409,0.00096,2.42983,0.61678,0.1549,31.26665,0.13674,0.95541,0.05197,0.06745,0.00601,0.10394,0.05698,0.10569,0.05748,0.0061,0.01078,0.12012,0.36232,0.31275,0.01889,0.03941,0.01194,0,0.03844,0,0.69893
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium,0,0.00227,0,0.0046,0.00499,0.0578,0.54555,0,0,0.01092,0,0.00163,16.87185,0,0,0,0.02694,0.1029,0,0.02765,0,0,0,0,0.00332,0.05074,0,0.02718,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,0.02609,0,0.01202,0,0,0,0,0,0,0,0,0,0.00518,0.00413,0.06415,0,0.00329,0,0.00486,0.00348,0.02729,0.01168,0,0,0.03322,0.00791,0.00441,0,0,0.00625,0,0,0,0.01966
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181,0,0,0,0.00712,0,0,0,0,0,0,0.00113,0,0,0.00077,0,0.08218,0,0,0,0,0,0,0,0,0,0.00732,0,0,0,0.00928,0,0,0.00199,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_paraputrificum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae,0,0,0,0,0,0,0.00275,0,0,0,0,0,0,0.0274,0,0,0,0,0.08196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
