,r,λ
MMPD23212378ST,0.4650501256820411,4.999999999999999
SID01.BA.VG.2,0.496368914328873,0.4937285713925191
SID01.BA.V_metag,0.6351606250699274,4.999999999999999
SID02.BA.V_metag,0.611011088033701,3.7066918183431676
SID02.BA.VG_metag,0.5705492528418735,4.999999999999999
SID03.BA.O_metag,0.573740761068117,3.4143624743609142
SID04.BA.VG.2,0.4771397137675908,0.0826241557182549
SID04.TO.VG,0.6259627737313675,4.999999999999999
SID05.PR.VG.1,0.38995629502933715,0.5360308544853177
SID06.BA.VG_metag,0.5108134080939387,0.4254712035110127
SID07.BA.VG.2,0.5843912515935819,4.999999999999999
SID08.BA.V_metag,0.5712094711809079,4.999999999999999
SID08.BA.VG_metag,0.5326302160124211,-0.060185118794822585
SID08.TO.VG,0.6371228356911336,4.999999999999999
SID11.TO.V.2,0.5156437874291392,0.7747549816558911
SID12.TO.O.new,0.4498242790266903,0.26663719423063925
SID13.PR.VG.0,0.5126726005304789,0.9596936155479721
SID14.PR.VG.0,0.4479883838291806,0.760750836871071
SID18.PR.V_metag,0.545906097458494,0.09263526807180886
SID19.BA.V.2,0.515369894907777,0.9468367633052509
SID20.TO.O.0,0.562603854895412,4.0503228466375125
SID23.BA.V.2,0.4310303743943331,0.15343931225500168
SID26.PR.V_metag,0.5712251819535392,4.999999999999999
SID30.BO.O.2,0.5105177247558647,2.565811828194328
SID33.PR.V_metag,0.4320691798258731,0.1979251203906419
SID38.BA.O.2,0.4772401309849272,0.6325084583657685
SID39.TO.VG,0.41900080119582817,0.5917323672540874
SID42.TO.VG.2,0.5741782840385984,4.999999999999999
SIDVOV03_metag,0.535271944417703,4.343547400164576
SIDVOV08_metag,0.5671640924184592,1.104884757674584
SIDVOV114_metag,0.5225264049844087,1.1008844444118566
SIDVOV48_metag,0.6046284793479407,3.499994036845419
SIDVOV49_metag,0.6316042844890526,4.999999999999999
SIDVOV96_metag,0.5153908786326915,0.33669193437566797
SID31021,0.4361686330753044,0.10304452589592038
SID31519,0.5219337523340618,3.063868855198281
SID530258,0.4377207696401224,0.09556834854449112
SID530444,0.610459606657853,4.0514157487581235
SID531414,0.5079243935695512,0.3040461154010538
SID532915,0.4143721915599329,0.29466426290430014
SZAXPI003417-4,0.5759221455868827,0.3032164167073636
SZAXPI003427-1,0.502008420721148,0.058939112243113365
SZAXPI003433-7,0.6196774905807397,4.999999999999999
SZAXPI015227-13,0.4134053240229222,0.1242184704873069
SZAXPI015230-16,0.540724469852495,2.067063396156527
SZAXPI015234-20,0.422771886329071,0.37836786922830146
SZAXPI015235-21,0.42438042982391,0.7005878890944208
SZAXPI015241-27,0.6127867420472025,4.999999999999999
SZAXPI015245-33,0.4360866469324185,0.12415705177670493
SZAXPI015246-34,0.5499727733062695,0.6440760232065444
SZAXPI015247-35,0.4889247620316786,0.10160317054969971
SZAXPI015250-39,0.4228843524343543,0.09257557914250018
SZAXPI015253-44,0.4769304194096604,0.09541857850368118
SZAXPI015255-46,0.49282425786986406,0.2648770940691556
SZAXPI015258-57,0.515563867130279,0.28392223059183647
SZAXPI015261-75,0.6321263424094354,4.999999999999999
SZAXPI015264-87,0.42310396425628916,0.5982928602861056
SZAXPI015267-102,0.5596769975683268,1.0238607022567487
SZAXPI015273-95,0.4773479200051958,0.11178201921447761
SZAXPI017592-142,0.42404845271594394,0.08488246590183411
