,r,λ
MMPD23212378ST,0.0005,0.46277397138190357
SID01.BA.VG.2,0.0005,0.4963485162681515
SID01.BA.V_metag,0.0005,0.6334764468902151
SID02.BA.V_metag,0.0005,0.6098273694340727
SID02.BA.VG_metag,0.0005,0.5688288633970584
SID03.BA.O_metag,0.0005,0.5725770641996466
SID04.BA.VG.2,0.0005,0.4771378292273073
SID04.TO.VG,0.0005,0.6243233375927923
SID05.PR.VG.1,0.0005,0.38977340770048957
SID06.BA.VG_metag,0.0005,0.5106750544343572
SID07.BA.VG.2,0.0005,0.582681439830847
SID08.BA.V_metag,0.0005,0.5693794349944842
SID08.BA.VG_metag,0.0005,0.532631094952335
SID08.TO.VG,0.0005,0.6354854781193221
SID11.TO.V.2,0.0005,0.5153645818848515
SID12.TO.O.new,0.0005,0.44975519017182114
SID13.PR.VG.0,0.0005,0.51232488485233
SID14.PR.VG.0,0.0005,0.4476903803127657
SID18.PR.V_metag,0.0005,0.5459032752912988
SID19.BA.V.2,0.0005,0.5150291810822989
SID20.TO.O.0,0.0005,0.5612059729930797
SID23.BA.V.2,0.0005,0.4310277074638889
SID26.PR.V_metag,0.0005,0.5694041135984805
SID30.BO.O.2,0.0005,0.5095189538359488
SID33.PR.V_metag,0.0005,0.4320644381888762
SID38.BA.O.2,0.0005,0.4770140793214981
SID39.TO.VG,0.0005,0.4189701798385852
SID42.TO.VG.2,0.0005,0.5723799533003006
SIDVOV03_metag,0.0005,0.5336692241576527
SIDVOV08_metag,0.0005,0.5667971438722925
SIDVOV114_metag,0.0005,0.5221205913915864
SIDVOV48_metag,0.0005,0.6035121136265814
SIDVOV49_metag,0.0005,0.630032410316849
SIDVOV96_metag,0.0005,0.5152848048952899
SID31021,0.0005,0.4361678861895182
SID31519,0.0005,0.5207793169582237
SID530258,0.0005,0.4377194962044325
SID530444,0.0005,0.609164206297408
SID531414,0.0005,0.5079132882640844
SID532915,0.0005,0.41436215970288204
SZAXPI003417-4,0.0005,0.5759116898167139
SZAXPI003427-1,0.0005,0.5020069477926237
SZAXPI003433-7,0.0005,0.6179863361225104
SZAXPI015227-13,0.0005,0.4134047397056748
SZAXPI015230-16,0.0005,0.5406422918904592
SZAXPI015234-20,0.0005,0.4227557491070457
SZAXPI015235-21,0.0005,0.42434268617480597
SZAXPI015241-27,0.0005,0.611082500690796
SZAXPI015245-33,0.0005,0.4360844194348223
SZAXPI015246-34,0.0005,0.5497627919883259
SZAXPI015247-35,0.0005,0.48892192098276804
SZAXPI015250-39,0.0005,0.4228847584369992
SZAXPI015253-44,0.0005,0.4769279168950402
SZAXPI015255-46,0.0005,0.4928145628280237
SZAXPI015258-57,0.0005,0.51555323393325
SZAXPI015261-75,0.0005,0.6303502767315442
SZAXPI015264-87,0.0005,0.4230726730083394
SZAXPI015267-102,0.0005,0.5593263270857369
SZAXPI015273-95,0.0005,0.4773447677817799
SZAXPI017592-142,0.0005,0.4240482692628855
